Status da URL,Data de Entrada,Nome da Empresa,Segmento da Empresa,Plataforma,URL
1,2026-05-21,Allcare,Saúde,Gupy,https://allcare.gupy.io
1,2026-05-20,Allianz,Financeiro,Gupy,https://carreiras.gupy.io/allianz
1,2026-02-19,Alliar,Serviços e Outros,Gupy,https://carreiras.gupy.io/alliar
1,2026-02-19,Allied,Serviços e Outros,Vagas,https://allied.pandape.infojobs.com.br
1,2026-02-20,Alloha Fibra,Serviços e Outros,Gupy,https://allohafibra.gupy.io
1,2026-02-19,Allos,Serviços e Outros,Gupy,https://carreiras.gupy.io/allos
1,2026-02-19,Alpargatas,Indústria,Gupy,https://alpargatas.gupy.io
1,2026-05-20,Alphaville,Financeiro,Gupy,https://alphaville.gupy.io
1,2026-05-21,Alterdata,Tecnologia,Gupy,https://alterdata.gupy.io
1,2026-02-19,Alteryx,Tecnologia,Manual,https://www.alteryx.com/careers
1,2026-02-19,Alupar,Serviços e Outros,Gupy,https://alupar.gupy.io
1,2025-12-26,Alura,Educação,InHire,https://alun.inhire.app/alura/vagas
1,2026-02-19,Amaggi,Serviços e Outros,Gupy,https://carreiras.gupy.io/amaggi
1,2026-02-19,Amazon,Tecnologia,Site da Empresa,https://www.amazon.jobs
1,2026-02-19,Ambev,Serviços e Outros,Gupy,https://ambev.gupy.io
1,2023-02-26,Ambev Tech,Tecnologia,Gupy,https://ambevtech.gupy.io
1,2026-02-19,Ambipar,Serviços e Outros,Gupy,https://carreiras.gupy.io/ambipar
1,2026-02-20,Amcham Brasil,Serviços e Outros,Gupy,https://amcham.gupy.io
1,2026-02-19,Ame Digital,Tecnologia,Gupy,https://ame.gupy.io
1,2026-02-19,American Airlines,Serviços e Outros,Manual,https://jobs.aa.com
1,2025-01-19,American Express,Financeiro,Eightfold,https://aexp.eightfold.ai/careers
1,2025-01-18,Americanas S.A.,Serviços e Outros,Gupy,https://americanas.gupy.io
1,2026-02-19,Amex,Financeiro,Site da Empresa,https://www.americanexpress.com/en-us/careers
1,2025-01-20,Amil,Saúde,SAP SuccessFactors,https://career19.sapsf.com/careers?company=amilassist
1,2026-02-22,Analytics,Tecnologia,Gupy,https://carreiras.gupy.io/analytics
1,2026-02-22,Analytics-ss,Tecnologia,Gupy,https://carreiras.gupy.io/analyticsss
1,2022-03-27,ANBIMA,Financeiro,Gupy,https://anbima.gupy.io
1,2026-02-20,Andorinha Supermercados,Agro e Alimentos,Gupy,https://andorinha.gupy.io
1,2026-02-19,Andrade Gutierrez,Serviços e Outros,Gupy,https://andradegutierrez.gupy.io
1,2026-02-19,Ânima Educação,Educação,Gupy,https://anima.gupy.io
1,2026-02-20,Animale Moda Br,Varejo e Consumo,Gupy,https://animale.gupy.io
1,2025-03-18,Anthropic,Tecnologia,Greenhouse,https://boards.greenhouse.io/anthropic
1,2026-05-21,Aon,Financeiro,TeamTailor,https://aon.teamtailor.com
1,2026-02-19,Apple,Tecnologia,Site da Empresa,https://www.apple.com/careers/br
1,2026-02-19,Apptite,Serviços e Outros,Gupy,https://carreiras.gupy.io/apptite
1,2026-02-20,Aramis,Serviços e Outros,Gupy,https://aramis.gupy.io
1,2026-02-20,ArcelorMittal Tuper Brasil,Indústria,Gupy,https://tuper.gupy.io
1,2026-02-20,Arco Educação,Educação,Greenhouse,https://boards.greenhouse.io/arcoeducacao
1,2026-02-19,Arcos Dorados (McDonald s),Serviços e Outros,Infojobs,https://trabalheconosconamc.infojobs.com.br
1,2026-02-19,Arezzo&Co,Serviços e Outros,Gupy,https://azzas2154.gupy.io
1,2026-02-19,Armac,Serviços e Outros,Gupy,https://armac.gupy.io
1,2026-02-19,Arteris,Serviços e Outros,Gupy,https://arteris.gupy.io
1,2025-03-18,Asaas,Financeiro,Gupy,https://asaas.gupy.io
1,2026-02-19,Assaí Atacadista,Agro e Alimentos,Gupy,https://assai.gupy.io
1,2025-01-19,AstraZeneca,Saúde,Workday,https://astrazeneca.wd3.myworkdayjobs.com/Careers
1,2026-02-19,Asus,Tecnologia,Site da Empresa,https://www.asus.com/about-asus/careers
1,2026-05-20,Atacadão,Agro e Alimentos,Gupy,https://carreiras.gupy.io/atacadao
1,2026-05-21,Atech,Indústria,Gupy,https://atech.gupy.io
1,2026-05-21,Atento,Serviços e Outros,Gupy,https://atento.gupy.io
1,2026-02-20,Atlantica Hospitality,Saúde,Gupy,https://atlantica.gupy.io
1,2026-02-19,Atlassian,Serviços e Outros,Site da Empresa,https://www.atlassian.com/company/careers
1,2026-02-19,Auren Energia,Energia e Utilities,Gupy,https://aurenenergia.gupy.io
1,2026-02-19,AuroraCoop (Aurora Alimentos),Agro e Alimentos,Gupy,https://auroracoop.gupy.io
1,2026-02-19,Autodesk,Tecnologia,Manual,https://www.autodesk.com/careers
1,2026-02-20,Automob,Indústria,Gupy,https://automob.gupy.io
1,2026-05-21,Auxiliadora Predial,Serviços e Outros,Gupy,https://auxiliadorapredial.gupy.io
1,2025-01-20,Avanade,Tecnologia,Plataforma Interna,https://www.avanade.com/pt-br/career/search-jobs
1,2026-02-19,Azos,Financeiro,InHire,https://azos.inhire.app/vagas
1,2025-03-18,Aztec,Tecnologia,Gupy,https://carreiras.gupy.io/aztec
1,2026-02-19,Azul,Serviços e Outros,Gupy,https://voeazul.gupy.io
1,2026-02-19,B3,Financeiro,Gupy,https://carreiras.gupy.io/b3
1,2026-02-19,Bacio di Latte,Serviços e Outros,Vagas,https://baciodilatte.com.br/carreiras
1,2026-02-19,Bahema Educação,Educação,Gupy,https://carreiras.gupy.io/bahemaeducao
1,2025-01-23,Ball,Indústria,Plataforma Interna,https://jobs.ball.com/corp_packaging/search
1,2023-02-26,Banco ABC,Financeiro,Gupy,https://abcbrasil.gupy.io
1,2026-02-19,Banco ABC Brasil,Financeiro,Gupy,https://carreiras.gupy.io/bancoabcbrasil
1,2026-05-20,Banco AMAZONIA,Financeiro,Gupy,https://banco.gupy.io
1,2026-02-19,Banco BMG,Financeiro,Gupy,https://bancobmg.gupy.io
1,2025-01-23,Banco Bradesco,Financeiro,CSOD,https://bradesco.csod.com/ux/ats/careersite/1/home?c=bradesco
1,2026-05-20,Banco BS2,Financeiro,Gupy,https://carreiras.gupy.io/bancobs2
1,2023-02-26,Banco BV,Financeiro,Lever,https://jobs.lever.co/bv
1,2026-02-19,Banco da Amazônia,Financeiro,Vagas,https://www.bancoamazonia.com.br/index.php/o-banco/concursos-e-empregados
1,2023-02-26,Banco Daycoval,Financeiro,Gupy,https://bancodaycoval.gupy.io
1,2026-02-19,Banco de Brasília (BRB),Financeiro,Vagas,https://www.brb.com.br/concursos-e-processos-seletivos
1,2026-02-19,Banco Digio,Financeiro,Gupy,https://digio.gupy.io
1,2026-02-19,Banco do Brasil,Financeiro,Vagas,https://www.bb.com.br/pbb/pagina-inicial/sobre-nos/carreiras-no-bb
1,2026-02-19,Banco do Nordeste,Financeiro,Gupy,https://carreiras.gupy.io/bancodonordeste
1,2023-02-26,Banco Fibra,Financeiro,Gupy,https://bancofibra.gupy.io
1,2026-02-19,Banco Inbursa,Financeiro,Gupy,https://carreiras.gupy.io/bancoinbursa
1,2026-02-19,Banco Industrial do Brasil,Financeiro,Gupy,https://bib.gupy.io
1,2026-02-19,Banco Inter,Financeiro,Gupy,https://carreiras.gupy.io/bancointer
1,2023-07-22,Banco Mercantil,Financeiro,Gupy,https://mercantil.gupy.io
1,2026-02-19,Banco Mercantil do Brasil,Financeiro,Gupy,https://carreiras.gupy.io/bancomercantildobrasil
1,2026-05-20,Banco Modal,Financeiro,Gupy,https://carreiras.gupy.io/bancomodal
1,2026-02-20,Banco Original,Financeiro,Gupy,https://original.gupy.io
1,2023-05-04,Banco Ourinvest,Financeiro,Gupy,https://bancoourinvest.gupy.io
1,2023-02-26,Banco Pan,Financeiro,Greenhouse,https://boards.greenhouse.io/bancopan
1,2026-02-19,Banco Paulista,Financeiro,Gupy,https://carreiras.gupy.io/bancopaulista
1,2025-12-26,Banco Pine,Financeiro,InHire,https://bancopine.inhire.app/vagas
1,2026-02-19,Banco Rendimento,Financeiro,Gupy,https://carreiras.gupy.io/bancorendimento
1,2023-02-26,Banco Rodobens,Financeiro,Gupy,https://rodobenscarreiras.gupy.io
1,2026-02-19,Banco Semear,Financeiro,Gupy,https://carreiras.gupy.io/bancosemear
1,2023-02-26,Banco Sofisa,Financeiro,Gupy,https://bancosofisa.gupy.io
1,2026-02-19,Banco Topázio,Financeiro,Gupy,https://bancotopazio.gupy.io
1,2026-02-19,Banco Votorantim (banco BV),Financeiro,Gupy,https://carreiras.gupy.io/bancovotorantimbancobv
1,2026-02-19,Band,Serviços e Outros,Recrut.ai,https://band.jobs.recrut.ai/#openings
1,2026-02-19,Bandai Namco,Serviços e Outros,Site da Empresa,https://www.bandainamcoent.com/careers
1,2026-02-19,Banestes,Financeiro,Gupy,https://carreiras.gupy.io/banestes
1,2023-02-26,banQi,Financeiro,Gupy,https://banqi.gupy.io
1,2026-02-19,Banrisul,Financeiro,Vagas,https://www.banrisul.com.br/concursos
1,2025-01-23,BASF,Indústria,SuccessFactors,https://career5.successfactors.eu/career?company=C0000159936P
1,2024-12-15,Bauducco,Serviços e Outros,Gupy,https://bauducco.gupy.io
1,2024-11-22,Bayer,Saúde,Eightfold,https://bayer.eightfold.ai/careers
1,2026-02-19,BB Seguridade,Financeiro,Gupy,https://brasilseg.gupy.io
1,2026-02-19,BBC,Serviços e Outros,Site da Empresa,https://careers.bbc.co.uk
1,2026-05-21,BDO,Tecnologia,TeamTailor,https://bdo.teamtailor.com
1,2026-02-19,Beep Saúde,Saúde,Gupy,https://beepsaude.gupy.io
1,2026-02-19,Beleaf,Serviços e Outros,Vagas,https://www.beleaf.com.br/trabalhe-conosco
1,2026-02-19,Belvo,Financeiro,Lever,https://belvo.com/careers
1,2026-02-19,Bemobi,Tecnologia,Gupy,https://bemobi.gupy.io
1,2025-03-18,Beyond 101,Tecnologia,Workable,https://apply.workable.com/beyond-101
1,2026-02-19,BHS,Tecnologia,Gupy,https://bhs.gupy.io
1,2026-05-21,Bibi,Serviços e Outros,TeamTailor,https://bibi.teamtailor.com
1,2026-05-21,Big Ben,Saúde,Gupy,https://bigben.gupy.io
1,2026-02-19,Biolab,Saúde,Gupy,https://carreiras.gupy.io/biolab
1,2026-05-21,Biotrop,Serviços e Outros,Gupy,https://biotrop.gupy.io
1,2026-02-19,Bitso,Financeiro,Greenhouse,https://bitso.com/jobs
1,2026-02-19,BizCapital,Financeiro,Gupy,https://carreiras.gupy.io/bizcapital
1,2026-02-19,Blackberry,Tecnologia,Site da Empresa,https://www.blackberry.com/us/en/company/careers
1,2026-02-19,Blau Farmacêutica,Saúde,Gupy,https://carreiras.gupy.io/blaufarmacutica
1,2026-05-21,Bling,Financeiro,Gupy,https://bling.gupy.io
1,2026-02-19,Blip,Tecnologia,Gupy,https://carreiras.gupy.io/blip
1,2025-01-19,Blizzard,Serviços e Outros,Gupy,https://carreiras.gupy.io/blizzard
1,2023-02-26,BMG,Financeiro,Gupy,https://bmg.gupy.io
1,2023-02-26,BMW Group Brasil,Indústria,Gupy,https://bmw.gupy.io
1,2025-01-19,BNY Mellon,Financeiro,Gupy,https://carreiras.gupy.io/bnymellon
1,2026-05-21,Bobs,Serviços e Outros,Gupy,https://bobs.gupy.io
1,2026-02-19,Bold Snacks,Serviços e Outros,Gupy,https://carreiras.gupy.io/boldsnacks
1,2025-03-22,BoldMetrics,Serviços e Outros,Manual,https://boldmetrics.com/careers
1,2026-02-19,Bom pra Crédito,Financeiro,Gupy,https://carreiras.gupy.io/bompracrdito
1,2025-01-23,Booking,Serviços e Outros,Plataforma Interna,https://jobs.booking.com/booking/jobs
1,2026-02-19,Booking.com,Serviços e Outros,Site da Empresa,https://jobs.booking.com
1,2025-01-19,Bosch Group,Indústria,SmartRecruiters,https://careers.smartrecruiters.com/BoschGroup
1,2025-04-26,Boulder Colorado,Serviços e Outros,Workday,https://bouldercolorado.wd1.myworkdayjobs.com/en-US/External
1,2026-02-19,Box Delivery,Logística e Mobilidade,Gupy,https://carreiras.gupy.io/boxdelivery
1,2026-02-19,Bradesco,Financeiro,Site da Empresa,https://banco.bradesco/trabalheconosco
1,2025-01-23,Bradesco Seguros,Financeiro,CSOD,https://bradesco.csod.com/ux/ats/careersite/3/home?c=bradesco
1,2026-05-21,Brainfarma,Saúde,Gupy,https://brainfarma.gupy.io
1,2026-02-19,BrasilAgro,Agro e Alimentos,Gupy,https://brasilagro.gupy.io
1,2023-02-26,Brasilprev,Financeiro,Gupy,https://brasilprev.gupy.io
1,2025-01-19,Braskem,Indústria,OracleCloud,https://epiw.fa.la1.oraclecloud.com/hcmUI/CandidateExperience/pt-BR/sites/CX_1001/requisitions
1,2026-02-19,Braspress,Serviços e Outros,PandaPe,https://braspress.pandape.infojobs.com.br
1,2026-02-19,Brastemp (Whirlpool),Serviços e Outros,Gupy,https://carreiras.gupy.io/whirlpool
1,2026-05-20,Brava Energia,Energia e Utilities,Gupy,https://bravaenergia.gupy.io
1,2025-03-18,Braze,Tecnologia,Greenhouse,https://job-boards.greenhouse.io/braze
1,2026-02-19,BRF,Serviços e Outros,Gupy,https://carreiras.gupy.io/brf
1,2026-02-19,Brinks Brasil,Serviços e Outros,Gupy,https://carreiras.gupy.io/brinksbrasil
1,2026-02-19,Brisanet,Serviços e Outros,Gupy,https://brisanet.gupy.io
1,2026-05-20,BRK Ambiental,Energia e Utilities,Gupy,https://carreiras.gupy.io/brkambiental
1,2026-02-19,BRQ Digital Solutions,Tecnologia,Gupy,https://carreiras.gupy.io/brq
1,2023-01-19,BTG Pactual,Financeiro,Greenhouse,https://boards.greenhouse.io/btgpactual
1,2026-02-19,Buffer,Tecnologia,Site da Empresa,https://journey.buffer.com
1,2026-02-19,Bunge,Indústria,Gupy,https://bunge.gupy.io
1,2025-01-23,Burger King,Serviços e Outros,Gupy,https://carreiras.gupy.io/burgerkingbrasil
1,2026-02-19,Burger King (Zamp),Serviços e Outros,Gupy,https://zamp.gupy.io
1,2026-05-21,Busuu,Educação,TeamTailor,https://busuu.teamtailor.com
1,2026-05-21,BYD Brasil,Indústria,Gupy,https://bydbrasil.gupy.io
1,2026-02-19,ByteDance,Tecnologia,Site da Empresa,https://jobs.bytedance.com/en
1,2023-02-26,C&A,Serviços e Outros,Gupy,https://cea.gupy.io
1,2023-02-26,C6 Bank,Financeiro,Greenhouse,https://boards.greenhouse.io/c6bank
1,2025-01-19,Cabify,Serviços e Outros,Greenhouse,https://job-boards.greenhouse.io/cabify
1,2023-02-26,Cacau Show,Serviços e Outros,Gupy,https://cacaushow.gupy.io
1,2026-02-19,Caesb,Serviços e Outros,Gupy,https://carreiras.gupy.io/caesb
1,2026-02-19,Caffeine Army,Serviços e Outros,Vagas,https://caffeinearmy.inhire.app
1,2026-02-19,Cagece,Serviços e Outros,Gupy,https://carreiras.gupy.io/cagece
1,2026-02-19,Caixa Econômica Federal,Financeiro,Gupy,https://carreiras.gupy.io/caixaeconmicafederal
1,2026-02-19,Caixa Seguridade,Financeiro,Gupy,https://carreiras.gupy.io/caixaseguridade
1,2025-01-19,Caju,Financeiro,Gupy,https://caju.gupy.io
1,2026-02-19,Camargo Corrêa,Serviços e Outros,Gupy,https://carreiras.gupy.io/camargocorra
1,2026-02-19,Camicado (Lojas Renner),Varejo e Consumo,Gupy,https://lojasrenner.gupy.io
1,2026-02-19,Camil,Serviços e Outros,Vagas,https://camilalimentos.com.br/carreiras
1,2025-01-23,Camil Alimentos,Agro e Alimentos,Sênior,https://platform.senior.com.br/hcmrs/hcm/curriculo/?tenant=camilcombr&tenantdomain=camil.com.br#!/vacancies/list
1,2026-05-21,Cantão,Serviços e Outros,Gupy,https://cantao.gupy.io
0,2026-02-19,Canva,Tecnologia,Site da Empresa,https://www.canva.com/careers
1,2025-01-23,Caoa,Indústria,Gupy,https://caoa.gupy.io
1,2025-01-20,Capco,Serviços e Outros,Greenhouse,https://boards.greenhouse.io/capco
1,2026-05-21,Capemisa,Financeiro,Gupy,https://capemisa.gupy.io
1,2026-02-19,Capgemini,Serviços e Outros,Gupy,https://carreiras.gupy.io/capgemini
1,2026-02-19,Cargill,Serviços e Outros,Site da Empresa,https://careers.cargill.com/en/search-jobs
1,2026-02-19,CargoX,Serviços e Outros,InHire,https://cargox.inhire.app/vagas
1,2026-02-19,Carrefour Brasil,Serviços e Outros,Gupy,https://carreiras.gupy.io/carrefour
1,2026-02-22,Carreira,Tecnologia,InHire,https://carreira.inhire.com.br
1,2026-02-20,Casa Di Conti,Serviços e Outros,Gupy,https://casadiconti.gupy.io
1,2026-05-21,Casa dos Ventos,Serviços e Outros,Gupy,https://casadosventos.gupy.io
1,2026-02-20,Casa e Video Varejo,Varejo e Consumo,Gupy,https://casaevideo.gupy.io
1,2026-02-19,Casan,Serviços e Outros,Vagas,https://www.casan.com.br/trabalhe-na-casan
1,2026-05-21,Cassi,Saúde,Gupy,https://cassi.gupy.io
1,2026-02-20,Castrolanda,Serviços e Outros,Gupy,https://castrolanda.gupy.io
1,2026-02-20,CBA Alumínio,Indústria,Gupy,https://cba.gupy.io
1,2026-02-19,CCR,Serviços e Outros,Gupy,https://motiva.gupy.io
1,2026-02-19,CD Projekt Red,Serviços e Outros,Site da Empresa,https://www.cdprojektred.com/en/jobs
1,2026-05-21,Cebrace,Indústria,Gupy,https://cebrace.gupy.io
1,2026-02-19,Ceg (Naturgy),Serviços e Outros,Gupy,https://carreiras.gupy.io/cegnaturgy
1,2026-02-19,Celcoin,Financeiro,InHire,https://celcoin.inhire.app/vagas
1,2026-02-19,Celesc,Serviços e Outros,Gupy,https://carreiras.gupy.io/celesc
1,2026-05-21,Cellera Farma,Saúde,Gupy,https://cellerafarma.gupy.io
1,2026-02-19,Cemig,Serviços e Outros,Vagas,https://www.cemig.com.br/carreiras
1,2026-02-20,Cencosud Brasil,Serviços e Outros,Gupy,https://cencosudbrasil.gupy.io
1,2023-02-26,Centauro,Serviços e Outros,Gupy,https://centaurotalentos.gupy.io
1,2026-02-19,Cheftime,Serviços e Outros,Gupy,https://carreiras.gupy.io/cheftime
1,2026-05-21,Chiesi,Saúde,TeamTailor,https://chiesi.teamtailor.com
1,2024-11-22,CI&T,Tecnologia,Lever,https://jobs.lever.co/ciandt
1,2026-02-20,CIEE SC,Serviços e Outros,Gupy,https://cieesc.gupy.io
1,2025-12-26,Cielo,Financeiro,InHire,https://cielo.inhire.app/vagas
1,2026-02-19,Cimed,Saúde,Gupy,https://cimed.gupy.io
1,2026-02-19,Cinemark,Mídia e Entretenimento,Gupy,https://cinemark.gupy.io
1,2026-05-21,Cinépolis,Serviços e Outros,TeamTailor,https://cinepolis.teamtailor.com
1,2026-02-19,Cisco,Tecnologia,Site da Empresa,https://careers.cisco.com/global/en
1,2026-02-19,Citi,Financeiro,Site da Empresa,https://careers.citigroup.com
1,2026-02-20,CLAMED,Saúde,Gupy,https://clamed.gupy.io
1,2026-05-20,Claro Brasil,Energia e Utilities,Gupy,https://carreiras.gupy.io/claro
1,2023-02-26,ClearSale,Tecnologia,Gupy,https://clearsale.gupy.io
1,2026-02-19,Click Entregas,Logística e Mobilidade,Gupy,https://carreiras.gupy.io/clickentregas
1,2026-05-21,ClickSign,Tecnologia,Gupy,https://clicksign.gupy.io
1,2026-02-19,Cloudera,Tecnologia,Workday,https://www.cloudera.com/careers.html
1,2026-02-19,CloudWalk,Financeiro,Lever,https://jobs.lever.co/cloudwalk
1,2026-02-20,Club Athletico Paranaense,Serviços e Outros,Gupy,https://athletico.gupy.io
1,2026-05-21,CNN Brasil,Serviços e Outros,Gupy,https://cnnbrasil.gupy.io
1,2026-02-19,Coamo Agroindustrial,Agro e Alimentos,Gupy,https://carreiras.gupy.io/coamo
1,2025-01-23,Cobasi,Serviços e Outros,InfoJobs,https://cobasi.pandape.infojobs.com.br
1,2026-05-21,Coca Cola,Serviços e Outros,Gupy,https://cocacola.gupy.io
1,2022-03-27,Coca-Cola Company,Serviços e Outros,Workday,https://coke.wd1.myworkdayjobs.com/coca-cola-careers
1,2026-02-19,Coca-Cola Femsa,Serviços e Outros,Gupy,https://femsa.gupy.io
1,2022-03-27,Coca-Cola Femsa BR,Serviços e Outros,Gupy,https://cocacolafemsabr.gupy.io
1,2026-02-20,Cocal,Serviços e Outros,Gupy,https://cocal.gupy.io
1,2026-02-19,Cocamar,Serviços e Outros,Gupy,https://cocamar.gupy.io
1,2026-02-19,Coco Bambu,Serviços e Outros,Gupy,https://cocobambu.gupy.io
1,2025-03-22,Cogna,Educação,Gupy,https://cogna.gupy.io
1,2026-02-19,Colgate-Palmolive,Serviços e Outros,Site da Empresa,https://jobs.colgate.com
1,2026-05-21,Colliers,Serviços e Outros,Gupy,https://colliers.gupy.io
1,2026-02-19,Comercial Zaffari,Serviços e Outros,Gupy,https://carreiras.gupy.io/comercialzaffari
1,2026-05-21,Compass UOL,Tecnologia,Gupy,https://compassuol.gupy.io
1,2026-05-21,Concentrix,Serviços e Outros,TeamTailor,https://concentrix.teamtailor.com
1,2026-02-19,Condor Super Center,Serviços e Outros,Gupy,https://condor.gupy.io
1,2026-05-21,Conductor,Tecnologia,Gupy,https://conductor.gupy.io
1,2026-02-19,ConectCar,Serviços e Outros,Gupy,https://conectcar.gupy.io
1,2026-05-21,Conexa Saúde,Saúde,Gupy,https://conexasaude.gupy.io
1,2026-05-21,Conquer,Educação,Gupy,https://conquer.gupy.io
1,2026-05-21,Constellation,Financeiro,Lever,https://jobs.lever.co/constellation
1,2026-02-19,Conta Azul,Serviços e Outros,Vagas,https://contaazul.inhire.app
1,2026-02-19,Conta Simples,Financeiro,Gupy,https://contasimples.gupy.io
1,2025-01-23,Contabilizei,Financeiro,Gupy,https://carreiras.gupy.io/contabilizei
1,2026-05-21,Convenia,Tecnologia,Gupy,https://convenia.gupy.io
1,2026-02-19,Coop,Serviços e Outros,InfoJobs,https://cooperativadeconsumo.pandape.infojobs.com.br
1,2026-02-20,Coopercitrus,Serviços e Outros,Gupy,https://coopercitrus.gupy.io
1,2026-02-19,Cooxupé,Serviços e Outros,Gupy,https://carreiras.gupy.io/cooxupe
1,2026-02-19,Copacol,Serviços e Outros,Vagas,https://copacol.com.br/trabalhe-conosco
1,2026-02-19,Copasa,Serviços e Outros,Vagas,https://www.copasa.com.br/wps/portal/internet/trabalhe-na-copasa
1,2026-02-19,Copel,Serviços e Outros,Gupy,https://carreiras.gupy.io/copel
1,2026-02-19,Copersucar,Serviços e Outros,Gupy,https://copersucar.gupy.io
1,2026-02-20,Coplana,Serviços e Outros,Gupy,https://coplana.gupy.io
1,2026-02-19,Cora,Financeiro,InHire,https://cora.inhire.app/vagas
1,2026-02-19,Corel,Tecnologia,Site da Empresa,https://www.corel.com/en/careers
1,2026-05-20,Correios,Logística e Mobilidade,Gupy,https://carreiras.gupy.io/correios
1,2025-01-20,Cortex,Tecnologia,Gupy,https://cortex.gupy.io
1,2026-02-19,Cosan,Serviços e Outros,Gupy,https://cosan.gupy.io
1,2026-02-19,Coursera,Educação,Site da Empresa,https://about.coursera.org/careers
1,2026-02-19,CPFL Energia,Energia e Utilities,Gupy,https://carreiras.gupy.io/cpfl
1,2026-05-21,Cred-System,Financeiro,Gupy,https://credsystem.gupy.io
1,2026-02-20,Credcrea (Ailos),Financeiro,Gupy,https://credcrea.gupy.io
1,2025-12-26,Creditas,Financeiro,Gupy,https://creditas.gupy.io
1,2026-05-20,Crefisa,Financeiro,Gupy,https://carreiras.gupy.io/crefisa
